surface	lemma	paradigm	semantic_id
אבזורים	אבזור	ז,ע,רבים	n_masc_regular
אבזם	אבזם	ז,ע,יחיד	n_masc_regular
אבזם	אבזם	ז,ע,יחיד,סמיכות	n_construct_singular
אבזמי	אבזם	ז,ע,רבים,סמיכות	n_construct_plural
אבזמים	אבזם	ז,ע,רבים	n_masc_regular
אבזר	אבזר	ז,ע,יחיד	n_masc_regular
אבזר	אבזר	ז,ע,יחיד,סמיכות	n_construct_singular
אבזרי	אבזר	ז,ע,רבים,סמיכות	n_construct_plural
אבזרים	אבזר	ז,ע,רבים	n_masc_regular
אבחה	אבחה	נ,ע,יחיד	n_fem_regular
אבחון	אבחון	ז,ע,יחיד	n_masc_regular
אבחון	אבחון	ז,ע,יחיד,סמיכות	n_construct_singular
אבחוני	אבחון	ז,ע,רבים,סמיכות	n_construct_plural
אבחונים	אבחון	ז,ע,רבים	n_masc_regular
אבחות	אבחה	נ,ע,רבים	n_fem_regular
אבחות	אבחה	נ,ע,רבים,סמיכות	n_construct_plural
אבחזי	אבחזי	ת,יחיד,ז	adj_unbound
אבחזי	אבחזי	ת,יחיד,ז,סמיכות	adj_construct
אבחזיות	אבחזי	ת,רבים,נ	adj_unbound
אבחזיות	אבחזי	ת,רבים,נ,סמיכות	adj_construct
אבחזיי	אבחזי	ת,רבים,ז,סמיכות	adj_construct
אבחזיים	אבחזי	ת,רבים,ז	adj_unbound
אבחזים	אבחזי	ע,רבים,ז	n_masc_regular
אבחזית	אבחזי	ת,יחיד,נ	adj_unbound
אבחזית	אבחזי	ת,יחיד,נ,סמיכות	adj_construct
אבחנה	אבחנה	נ,ע,יחיד	n_fem_regular
אבחנות	אבחנה	נ,ע,רבים	n_fem_regular
אבחנות	אבחנה	נ,ע,רבים,סמיכות	n_construct_plural
אבחנת	אבחנה	נ,ע,יחיד,סמיכות	n_construct_singular
אבחנתי	אבחנתי	ת,יחיד,ז	adj_unbound
אבחנתי	אבחנתי	ת,יחיד,ז,סמיכות	adj_construct
אבחנתיות	אבחנתי	ת,רבים,נ	adj_unbound
אבחנתיות	אבחנתי	ת,רבים,נ,סמיכות	adj_construct
אבחנתיי	אבחנתי	ת,רבים,ז,סמיכות	adj_construct
אבחנתיים	אבחנתי	ת,רבים,ז	adj_unbound
אבחנתית	אבחנתי	ת,יחיד,נ	adj_unbound
אבחנתית	אבחנתי	ת,יחיד,נ,סמיכות	adj_construct
אבחת	אבחה	נ,ע,יחיד,סמיכות	n_construct_singular
אבטחה	אבטחה	נ,ע,יחיד	n_fem_regular
אבטחות	אבטחה	נ,ע,רבים	n_fem_regular
אבטחות	אבטחה	נ,ע,רבים,סמיכות	n_construct_plural
אבטחת	אבטחה	נ,ע,יחיד,סמיכות	n_construct_singular
אבטיח	אבטיח	ז,ע,יחיד	n_masc_regular
אבטיח	אבטיח	ז,ע,יחיד,סמיכות	n_construct_singular
אבטיחי	אבטיח	ז,ע,רבים,סמיכות	n_construct_plural
אבטיחים	אבטיח	ז,ע,רבים	n_masc_regular
אבטיפוס	אבטיפוס	ז,ע,יחיד	n_masc_regular
אבטלה	אבטלה	נ,ע,יחיד	n_fem_regular
אבטלות	אבטלה	נ,ע,רבים	n_fem_regular
אבטלות	אבטלה	נ,ע,רבים,סמיכות	n_construct_plural
אבטלת	אבטלה	נ,ע,יחיד,סמיכות	n_construct_singular
אביב	אביב	ז,ע,יחיד	n_masc_regular
אביב	אביב	ז,ע,יחיד,סמיכות	n_construct_singular
אביבי	אביב	ז,ע,רבים,סמיכות	n_construct_plural
אביבי	אביבי	ת,יחיד,ז	adj_unbound
אביבי	אביבי	ת,יחיד,ז,סמיכות	adj_construct
אביביות	אביבי	ת,רבים,נ	adj_unbound
אביביות	אביבי	ת,רבים,נ,סמיכות	adj_construct
אביביי	אביבי	ת,רבים,ז,סמיכות	adj_construct
אביביים	אביבי	ת,רבים,ז	adj_unbound
אביבים	אביב	ז,ע,רבים	n_masc_regular
אביבית	אביבי	ת,יחיד,נ	adj_unbound
אביבית	אביבי	ת,יחיד,נ,סמיכות	adj_construct
אביון	אביון	ז,ע,יחיד	n_masc_regular
אביון	אביון	ז,ע,יחיד,סמיכות	n_construct_singular
אביונה	אביונה	נ,ע,יחיד	n_fem_regular
אביונה	אביונה	נ,ע,יחיד	n_fem_regular
אביונות	אביונות	נ,ע,יחיד	n_fem_regular
אביונות	אביונות	נ,ע,יחיד,סמיכות	n_construct_singular
אביונות	אביונה	נ,ע,רבים	n_fem_regular
אביונות	אביונה	נ,ע,רבים,סמיכות	n_construct_plural
אביונות	אביונה	נ,ע,רבים	n_fem_regular
אביונות	אביונה	נ,ע,רבים,סמיכות	n_construct_plural
אביוני	אביון	ז,ע,רבים,סמיכות	n_construct_plural
אביונים	אביון	ז,ע,רבים	n_masc_regular
אביונת	אביונה	נ,ע,יחיד,סמיכות	n_construct_singular
אביונת	אביונה	נ,ע,יחיד,סמיכות	n_construct_singular
אביזר	אביזר	ז,ע,יחיד	n_masc_regular
אביזר	אביזר	ז,ע,יחיד,סמיכות	n_construct_singular
אביזרי	אביזר	ז,ע,רבים,סמיכות	n_construct_plural
אביזרים	אביזר	ז,ע,רבים	n_masc_regular
אביר	אביר	ז,ע,יחיד	n_masc_regular
אביר	אביר	ז,ע,יחיד,סמיכות	n_construct_singular
אבירויות	אבירות	נ,ע,רבים	n_fem_regular
אבירויות	אבירות	נ,ע,רבים,סמיכות	n_construct_plural
אבירות	אבירות	נ,ע,יחיד	n_fem_regular
אבירות	אבירות	נ,ע,יחיד,סמיכות	n_construct_singular
אבירי	אביר	ז,ע,רבים,סמיכות	n_construct_plural
אבירי	אבירי	ת,יחיד,ז	adj_unbound
אבירי	אבירי	ת,יחיד,ז,סמיכות	adj_construct
אביריות	אבירי	ת,רבים,נ	adj_unbound
אביריות	אבירי	ת,רבים,נ,סמיכות	adj_construct
אביריי	אבירי	ת,רבים,ז,סמיכות	adj_construct
אביריים	אבירי	ת,רבים,ז	adj_unbound
אבירים	אביר	ז,ע,רבים	n_masc_regular
אבירית	אבירי	ת,יחיד,נ	adj_unbound
אבירית	אבירי	ת,יחיד,נ,סמיכות	adj_construct
אבל	אבל	ז,ע,יחיד	n_masc_regular
אבל	אבל	ז,ע,יחיד,סמיכות	n_construct_singular
אבל	אבל	ת,יחיד,ז	adj_unbound
אבל	אבל	ת,יחיד,ז,סמיכות	adj_construct
אבלה	אבל	ת,יחיד,נ	adj_unbound
אבלות	אבל	ת,רבים,נ	adj_unbound
אבלות	אבל	ת,רבים,נ,סמיכות	adj_construct
אבלות	אבלות	נ,ע,יחיד	n_fem_regular
אבלות	אבלות	נ,ע,יחיד,סמיכות	n_construct_singular
אבלי	אבל	ז,ע,רבים,סמיכות	n_construct_plural
אבלי	אבל	ת,רבים,ז,סמיכות	adj_construct
אבלים	אבל	ז,ע,רבים	n_masc_regular
אבלים	אבל	ת,רבים,ז	adj_unbound
אבלציה	אבלציה	נ,ע,יחיד	n_fem_regular
אבלציות	אבלציה	נ,ע,רבים	n_fem_regular
אבלציות	אבלציה	נ,ע,רבים,סמיכות	n_construct_plural
אבלציית	אבלציה	נ,ע,יחיד,סמיכות	n_construct_singular
אבלת	אבל	ת,יחיד,נ,סמיכות	adj_construct
אבן	אבן	נ,ע,יחיד	n_fem_regular
אבן	אבן	נ,ע,יחיד,סמיכות	n_construct_singular
אבנט	אבנט	ז,ע,יחיד	n_masc_regular
אבנט	אבנט	ז,ע,יחיד,סמיכות	n_construct_singular
אבנטי	אבנט	ז,ע,רבים,סמיכות	n_construct_plural
אבנטים	אבנט	ז,ע,רבים	n_masc_regular
אבני	אבן	ז,ע,רבים,סמיכות	n_construct_plural
אבני	אבן	נ,ע,רבים,סמיכות	n_construct_plural
אבניים	אבן	ז,ע,רבים	n_masc_regular
אבנים	אבן	נ,ע,רבים	n_fem_regular
אבנית	אבנית	נ,ע,יחיד	n_fem_regular
אבנית	אבנית	נ,ע,יחיד,סמיכות	n_construct_singular
אבסולוטי	אבסולוטי	ת,יחיד,ז	adj_unbound
אבסולוטי	אבסולוטי	ת,יחיד,ז,סמיכות	adj_construct
אבסולוטיות	אבסולוטי	ת,רבים,נ	adj_unbound
אבסולוטיות	אבסולוטי	ת,רבים,נ,סמיכות	adj_construct
אבסולוטיי	אבסולוטי	ת,רבים,ז,סמיכות	adj_construct
אבסולוטיים	אבסולוטי	ת,רבים,ז	adj_unbound
אבסולוטית	אבסולוטי	ת,יחיד,נ	adj_unbound
אבסולוטית	אבסולוטי	ת,יחיד,נ,סמיכות	adj_construct
אבסורד	אבסורד	ז,ע,יחיד	n_masc_regular
אבסורד	אבסורד	ז,ע,יחיד,סמיכות	n_construct_singular
אבסורדי	אבסורד	ז,ע,רבים,סמיכות	n_construct_plural
אבסורדי	אבסורדי	ת,יחיד,ז	adj_unbound
אבסורדי	אבסורדי	ת,יחיד,ז,סמיכות	adj_construct
אבסורדיות	אבסורדי	ת,רבים,נ	adj_unbound
אבסורדיות	אבסורדי	ת,רבים,נ,סמיכות	adj_construct
אבסורדיי	אבסורדי	ת,רבים,ז,סמיכות	adj_construct
אבסורדיים	אבסורדי	ת,רבים,ז	adj_unbound
אבסורדים	אבסורד	ז,ע,רבים	n_masc_regular
אבסורדית	אבסורדי	ת,יחיד,נ	adj_unbound
אבסורדית	אבסורדי	ת,יחיד,נ,סמיכות	adj_construct
אבסטרקטי	אבסטרקטי	ת,יחיד,ז	adj_unbound
אבסטרקטי	אבסטרקטי	ת,יחיד,ז,סמיכות	adj_construct
אבסטרקטיות	אבסטרקטי	ת,רבים,נ	adj_unbound
אבסטרקטיות	אבסטרקטי	ת,רבים,נ,סמיכות	adj_construct
אבסטרקטיי	אבסטרקטי	ת,רבים,ז,סמיכות	adj_construct
אבסטרקטיים	אבסטרקטי	ת,רבים,ז	adj_unbound
אבסטרקטית	אבסטרקטי	ת,יחיד,נ	adj_unbound
אבסטרקטית	אבסטרקטי	ת,יחיד,נ,סמיכות	adj_construct
אבעבועה	אבעבועה	נ,ע,יחיד	n_fem_regular
אבעבועות	אבעבועה	נ,ע,רבים	n_fem_regular
אבעבועות	אבעבועה	נ,ע,רבים,סמיכות	n_construct_plural
אבעבועת	אבעבועה	נ,ע,יחיד,סמיכות	n_construct_singular
אבץ	אבץ	ז,ע,יחיד	n_masc_regular
אבק	אבק	ז,ע,יחיד	n_masc_regular
אבק	אבק	ז,ע,יחיד,סמיכות	n_construct_singular
אבקה	אבקה	נ,ע,יחיד	n_fem_regular
אבקות	אבקה	נ,ע,רבים	n_fem_regular
אבקות	אבקה	נ,ע,רבים,סמיכות	n_construct_plural
אבקן	אבקן	ז,ע,יחיד	n_masc_regular
אבקן	אבקן	ז,ע,יחיד,סמיכות	n_construct_singular
אבקני	אבקן	ז,ע,רבים,סמיכות	n_construct_plural
אבקנים	אבקן	ז,ע,רבים	n_masc_regular
אבקת	אבקה	נ,ע,יחיד,סמיכות	n_construct_singular
אבר	אבר	ז,ע,יחיד	n_masc_regular
אבר	אבר	ז,ע,יחיד,סמיכות	n_construct_singular
אברה	אברה	נ,ע,יחיד	n_fem_regular
אברון	אברון	ז,ע,יחיד	n_masc_regular
אברון	אברון	ז,ע,יחיד,סמיכות	n_construct_singular
אברוני	אברון	ז,ע,רבים,סמיכות	n_construct_plural
אברונים	אברון	ז,ע,רבים	n_masc_regular
אברות	אברה	נ,ע,רבים	n_fem_regular
אברות	אברה	נ,ע,רבים,סמיכות	n_construct_plural
אברי	אבר	ז,ע,רבים,סמיכות	n_construct_plural
אברים	אבר	ז,ע,רבים	n_masc_regular
אברך	אברך	ז,ע,יחיד	n_masc_regular
אברך	אברך	ז,ע,יחיד,סמיכות	n_construct_singular
אברכי	אברך	ז,ע,רבים,סמיכות	n_construct_plural
אברכים	אברך	ז,ע,רבים	n_masc_regular
אברת	אברה	נ,ע,יחיד,סמיכות	n_construct_singular
אגאי	אגאי	ת,יחיד,ז	adj_unbound
אגאי	אגאי	ת,יחיד,ז,סמיכות	adj_construct
אגאיות	אגאי	ת,רבים,נ	adj_unbound
אגאיות	אגאי	ת,רבים,נ,סמיכות	adj_construct
אגאיי	אגאי	ת,רבים,ז,סמיכות	adj_construct
אגאיים	אגאי	ת,רבים,ז	adj_unbound
אגאית	אגאי	ת,יחיד,נ	adj_unbound
אגאית	אגאי	ת,יחיד,נ,סמיכות	adj_construct
אגב	אגב	ז,ע,יחיד	n_masc_regular
אגבי	אגבי	ת,יחיד,ז	adj_unbound
אגבי	אגבי	ת,יחיד,ז,סמיכות	adj_construct
אגביות	אגבי	ת,רבים,נ	adj_unbound
אגביות	אגבי	ת,רבים,נ,סמיכות	adj_construct
אגביי	אגבי	ת,רבים,ז,סמיכות	adj_construct
אגביים	אגבי	ת,רבים,ז	adj_unbound
אגבית	אגבי	ת,יחיד,נ	adj_unbound
אגבית	אגבי	ת,יחיד,נ,סמיכות	adj_construct
אגד	אגד	ז,ע,יחיד	n_masc_regular
אגד	אגד	ז,ע,יחיד,סמיכות	n_construct_singular
אגדה	אגדה	נ,ע,יחיד	n_fem_regular
אגדות	אגדה	נ,ע,רבים	n_fem_regular
אגדות	אגדה	נ,ע,רבים,סמיכות	n_construct_plural
אגדי	אגדי	ת,יחיד,ז	adj_unbound
אגדי	אגדי	ת,יחיד,ז,סמיכות	adj_construct
אגדי	אגד	ז,ע,רבים,סמיכות	n_construct_plural
אגדיות	אגדי	ת,רבים,נ	adj_unbound
אגדיות	אגדי	ת,רבים,נ,סמיכות	adj_construct
אגדיי	אגדי	ת,רבים,ז,סמיכות	adj_construct
אגדיים	אגדי	ת,רבים,ז	adj_unbound
אגדים	אגד	ז,ע,רבים	n_masc_regular
אגדית	אגדי	ת,יחיד,נ	adj_unbound
אגדית	אגדי	ת,יחיד,נ,סמיכות	adj_construct
אגדת	אגדה	נ,ע,יחיד,סמיכות	n_construct_singular
אגדתי	אגדתי	ת,יחיד,ז	adj_unbound
אגדתי	אגדתי	ת,יחיד,ז,סמיכות	adj_construct
אגדתיות	אגדתי	ת,רבים,נ	adj_unbound
אגדתיות	אגדתי	ת,רבים,נ,סמיכות	adj_construct
אגדתיי	אגדתי	ת,רבים,ז,סמיכות	adj_construct
אגדתיים	אגדתי	ת,רבים,ז	adj_unbound
אגדתית	אגדתי	ת,יחיד,נ	adj_unbound
אגדתית	אגדתי	ת,יחיד,נ,סמיכות	adj_construct
אגו	אגו	ז,ע,יחיד	n_masc_regular
אגואיזם	אגואיזם	ז,ע,יחיד	n_masc_regular
אגואיסט	אגואיסט	ת,יחיד,ז	adj_unbound
אגואיסט	אגואיסט	ת,יחיד,ז,סמיכות	adj_construct
אגואיסטי	אגואיסט	ת,רבים,ז,סמיכות	adj_construct
אגואיסטי	אגואיסטי	ת,יחיד,ז	adj_unbound
אגואיסטי	אגואיסטי	ת,יחיד,ז,סמיכות	adj_construct
אגואיסטיות	אגואיסט	ת,רבים,נ	adj_unbound
אגואיסטיות	אגואיסט	ת,רבים,נ,סמיכות	adj_construct
אגואיסטיות	אגואיסטי	ת,רבים,נ	adj_unbound
אגואיסטיות	אגואיסטי	ת,רבים,נ,סמיכות	adj_construct
אגואיסטיי	אגואיסטי	ת,רבים,ז,סמיכות	adj_construct
אגואיסטיים	אגואיסטי	ת,רבים,ז	adj_unbound
אגואיסטים	אגואיסט	ת,רבים,ז	adj_unbound
אגואיסטית	אגואיסט	ת,יחיד,נ	adj_unbound
אגואיסטית	אגואיסט	ת,יחיד,נ,סמיכות	adj_construct
אגואיסטית	אגואיסטי	ת,יחיד,נ	adj_unbound
אגואיסטית	אגואיסטי	ת,יחיד,נ,סמיכות	adj_construct
אגודה	אגודה	נ,ע,יחיד	n_fem_regular
אגודות	אגודה	נ,ע,רבים	n_fem_regular
אגודות	אגודה	נ,ע,רבים,סמיכות	n_construct_plural
אגודל	אגודל	ז,ע,יחיד	n_masc_regular
אגודל	אגודל	ז,ע,יחיד,סמיכות	n_construct_singular
אגודלי	אגודל	ז,ע,רבים,סמיכות	n_construct_plural
אגודלים	אגודל	ז,ע,רבים	n_masc_regular
אגודת	אגודה	נ,ע,יחיד,סמיכות	n_construct_singular
אגודתי	אגודתי	ת,יחיד,ז	adj_unbound
אגודתי	אגודתי	ת,יחיד,ז,סמיכות	adj_construct
אגודתיות	אגודתי	ת,רבים,נ	adj_unbound
אגודתיות	אגודתי	ת,רבים,נ,סמיכות	adj_construct
אגודתיי	אגודתי	ת,רבים,ז,סמיכות	adj_construct
אגודתיים	אגודתי	ת,רבים,ז	adj_unbound
אגודתית	אגודתי	ת,יחיד,נ	adj_unbound
אגודתית	אגודתי	ת,יחיד,נ,סמיכות	adj_construct
אגוז	אגוז	ז,ע,יחיד	n_masc_regular
אגוז	אגוז	ז,ע,יחיד,סמיכות	n_construct_singular
אגוזי	אגוז	ז,ע,רבים,סמיכות	n_construct_plural
אגוזים	אגוז	ז,ע,רבים	n_masc_regular
אגוצנטרי	אגוצנטרי	ת,יחיד,ז	adj_unbound
אגוצנטרי	אגוצנטרי	ת,יחיד,ז,סמיכות	adj_construct
אגוצנטריות	אגוצנטרי	ת,רבים,נ	adj_unbound
אגוצנטריות	אגוצנטרי	ת,רבים,נ,סמיכות	adj_construct
אגוצנטריי	אגוצנטרי	ת,רבים,ז,סמיכות	adj_construct
אגוצנטריים	אגוצנטרי	ת,רבים,ז	adj_unbound
אגוצנטרית	אגוצנטרי	ת,יחיד,נ	adj_unbound
אגוצנטרית	אגוצנטרי	ת,יחיד,נ,סמיכות	adj_construct
אגורה	אגורה	נ,ע,יחיד	n_fem_regular
אגורות	אגורה	נ,ע,רבים	n_fem_regular
אגורות	אגורה	נ,ע,רבים,סמיכות	n_construct_plural
אגורפוביה	אגורפוביה	נ,ע,יחיד	n_fem_regular
אגורת	אגורה	נ,ע,יחיד,סמיכות	n_construct_singular
אגזוז	אגזוז	ז,ע,יחיד	n_masc_regular
אגזוז	אגזוז	ז,ע,יחיד,סמיכות	n_construct_singular
אגזוזי	אגזוז	ז,ע,רבים,סמיכות	n_construct_plural
אגזוזים	אגזוז	ז,ע,רבים	n_masc_regular
אגל	אגל	ז,ע,יחיד	n_masc_regular
אגל	אגל	ז,ע,יחיד,סמיכות	n_construct_singular
אגלי	אגל	ז,ע,רבים,סמיכות	n_construct_plural
אגלים	אגל	ז,ע,רבים	n_masc_regular
אגם	אגם	ז,ע,יחיד	n_masc_regular
אגם	אגם	ז,ע,יחיד,סמיכות	n_construct_singular
אגמון	אגמון	ז,ע,יחיד	n_masc_regular
אגמון	אגמון	ז,ע,יחיד,סמיכות	n_construct_singular
אגמוני	אגמון	ז,ע,רבים,סמיכות	n_construct_plural
אגמונים	אגמון	ז,ע,רבים	n_masc_regular
אגמי	אגם	ז,ע,רבים,סמיכות	n_construct_plural
אגמים	אגם	ז,ע,רבים	n_masc_regular
אגן	אגן	ז,ע,יחיד	n_masc_regular
אגן	אגן	ז,ע,יחיד,סמיכות	n_construct_singular
אגנוסטי	אגנוסטי	ת,יחיד,ז	adj_unbound
אגנוסטי	אגנוסטי	ת,יחיד,ז,סמיכות	adj_construct
אגנוסטיות	אגנוסטי	ת,רבים,נ	adj_unbound
אגנוסטיות	אגנוסטי	ת,רבים,נ,סמיכות	adj_construct
אגנוסטיות	אגנוסטיות	נ,ע,יחיד	n_fem_regular
אגנוסטיות	אגנוסטיות	נ,ע,יחיד,סמיכות	n_construct_singular
אגנוסטיי	אגנוסטי	ת,רבים,ז,סמיכות	adj_construct
אגנוסטיים	אגנוסטי	ת,רבים,ז	adj_unbound
אגנוסטיציזם	אגנוסטיציזם	ז,ע,יחיד	n_masc_regular
אגנוסטיקן	אגנוסטיקן	ת,יחיד,ז	adj_unbound
אגנוסטיקן	אגנוסטיקן	ת,יחיד,ז,סמיכות	adj_construct
אגנוסטיקני	אגנוסטיקן	ת,רבים,ז,סמיכות	adj_construct
אגנוסטיקניות	אגנוסטיקן	ת,רבים,נ	adj_unbound
אגנוסטיקניות	אגנוסטיקן	ת,רבים,נ,סמיכות	adj_construct
אגנוסטיקנים	אגנוסטיקן	ת,רבים,ז	adj_unbound
אגנוסטיקנית	אגנוסטיקן	ת,יחיד,נ	adj_unbound
אגנוסטיקנית	אגנוסטיקן	ת,יחיד,נ,סמיכות	adj_construct
אגנוסטית	אגנוסטי	ת,יחיד,נ	adj_unbound
אגנוסטית	אגנוסטי	ת,יחיד,נ,סמיכות	adj_construct
אגני	אגן	ז,ע,רבים,סמיכות	n_construct_plural
אגנים	אגן	ז,ע,רבים	n_masc_regular
אגס	אגס	ז,ע,יחיד	n_masc_regular
אגס	אגס	ז,ע,יחיד,סמיכות	n_construct_singular
אגסי	אגס	ז,ע,רבים,סמיכות	n_construct_plural
אגסים	אגס	ז,ע,רבים	n_masc_regular
אגף	אגף	ז,ע,יחיד	n_masc_regular
אגף	אגף	ז,ע,יחיד,סמיכות	n_construct_singular
אגפי	אגף	ז,ע,רבים,סמיכות	n_construct_plural
אגפים	אגף	ז,ע,רבים	n_masc_regular
אגרה	אגרה	נ,ע,יחיד	n_fem_regular
אגרול	אגרול	ז,ע,יחיד	n_masc_regular
אגרול	אגרול	ז,ע,יחיד,סמיכות	n_construct_singular
אגרולי	אגרול	ז,ע,רבים,סמיכות	n_construct_plural
אגרולים	אגרול	ז,ע,רבים	n_masc_regular
אגרונום	אגרונום	ז,ע,יחיד	n_masc_regular
אגרונום	אגרונום	ז,ע,יחיד,סמיכות	n_construct_singular
אגרונומי	אגרונום	ז,ע,רבים,סמיכות	n_construct_plural
אגרונומי	אגרונומי	ת,יחיד,ז	adj_unbound
אגרונומי	אגרונומי	ת,יחיד,ז,סמיכות	adj_construct
אגרונומיה	אגרונומיה	נ,ע,יחיד	n_fem_regular
אגרונומיות	אגרונומית	נ,ע,רבים	n_fem_regular
אגרונומיות	אגרונומית	נ,ע,רבים,סמיכות	n_construct_plural
אגרונומיות	אגרונומי	ת,רבים,נ	adj_unbound
אגרונומיות	אגרונומי	ת,רבים,נ,סמיכות	adj_construct
אגרונומיי	אגרונומי	ת,רבים,ז,סמיכות	adj_construct
אגרונומיים	אגרונומי	ת,רבים,ז	adj_unbound
אגרונומים	אגרונום	ז,ע,רבים	n_masc_regular
אגרונומית	אגרונומית	נ,ע,יחיד	n_fem_regular
אגרונומית	אגרונומית	נ,ע,יחיד,סמיכות	n_construct_singular
אגרונומית	אגרונומי	ת,יחיד,נ	adj_unbound
אגרונומית	אגרונומי	ת,יחיד,נ,סמיכות	adj_construct
אגרוף	אגרוף	ז,ע,יחיד	n_masc_regular
אגרוף	אגרוף	ז,ע,יחיד,סמיכות	n_construct_singular
אגרופי	אגרוף	ז,ע,רבים,סמיכות	n_construct_plural
אגרופים	אגרוף	ז,ע,רבים	n_masc_regular
אגרופן	אגרופן	ז,ע,יחיד	n_masc_regular
אגרופן	אגרופן	ז,ע,יחיד,סמיכות	n_construct_singular
אגרופנות	אגרופנות	נ,ע,יחיד	n_fem_regular
אגרופנות	אגרופנות	נ,ע,יחיד,סמיכות	n_construct_singular
אגרופני	אגרופן	ז,ע,רבים,סמיכות	n_construct_plural
אגרופניות	אגרופנית	נ,ע,רבים	n_fem_regular
